Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Category
Simple Average,0.9603729603729604,0.946058091286307,0.9827586206896551,0.9640591966173362,0.9832180990722913,Hybrid Ensemble
Weighted Average,0.9603729603729604,0.946058091286307,0.9827586206896551,0.9640591966173362,0.9839182566077367,Hybrid Ensemble
Stacked Hybrid,0.958041958041958,0.9421487603305785,0.9827586206896551,0.9620253164556962,0.9848372133730089,Hybrid Ensemble
LightGBM,0.9533799533799534,0.9416666666666667,0.9741379310344828,0.9576271186440678,0.9857999299842464,Traditional ML
XGBoost Only,0.951048951048951,0.9377593360995851,0.9741379310344828,0.9556025369978859,0.985296691755645,Hybrid Ensemble
XGBoost,0.951048951048951,0.9377593360995851,0.9741379310344828,0.9556025369978859,0.985296691755645,Traditional ML
Random Forest,0.9487179487179487,0.930327868852459,0.978448275862069,0.9537815126050421,0.9861390687904779,Traditional ML
Decision Tree,0.9463869463869464,0.9446808510638298,0.9568965517241379,0.9507494646680942,0.945453352004201,Traditional ML
Extra Trees,0.9440559440559441,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9900774549273587,Traditional ML
ANN,0.8927738927738927,0.9008620689655172,0.9008620689655172,0.9008620689655172,0.9399614913355505,Deep Learning
Gradient Boosting,0.8927738927738927,0.8875,0.9181034482758621,0.902542372881356,0.9525862068965517,Traditional ML
SVM,0.8787878787878788,0.8688524590163934,0.9137931034482759,0.8907563025210085,0.9305968842989671,Traditional ML
Voting Ensemble,0.8764568764568764,0.8185053380782918,0.9913793103448276,0.8966861598440545,,Hybrid Ensemble
AdaBoost,0.8624708624708625,0.8680851063829788,0.8793103448275862,0.8736616702355461,0.9291965692280764,Traditional ML
Wide-Deep Net,0.8578088578088578,0.8547717842323651,0.8879310344827587,0.8710359408033826,0.9150621389812708,Deep Learning
Residual Net,0.8554778554778555,0.8663793103448276,0.8663793103448276,0.8663793103448276,0.9120208296866796,Deep Learning
BatchNorm Net,0.8531468531468531,0.8262548262548263,0.9224137931034483,0.8716904276985743,0.9150840189042534,Deep Learning
DL Only,0.8531468531468531,0.8262548262548263,0.9224137931034483,0.8716904276985743,0.9150840189042534,Hybrid Ensemble
Logistic Regression,0.8438228438228438,0.8451882845188284,0.8706896551724138,0.8577494692144374,0.9092201995448976,Traditional ML
K-Nearest Neighbors,0.8368298368298368,0.8403361344537815,0.8620689655172413,0.851063829787234,0.9246017854017154,Traditional ML
Dropout Net,0.8344988344988346,0.8232931726907631,0.8836206896551724,0.8523908523908524,0.8970330824435498,Deep Learning
Deep ANN,0.8321678321678322,0.8252032520325203,0.875,0.8493723849372385,0.8891781900927708,Deep Learning
Naive Bayes,0.8298368298368298,0.863013698630137,0.8146551724137931,0.8381374722838137,0.9027656222650097,Traditional ML
Combined Net,0.7878787878787878,0.7406143344709898,0.9353448275862069,0.8266666666666667,0.8894845090145282,Deep Learning
